160 Emery Hwy,Macon,Macon-Bibb County,"32.848205,-83.623785",12000
378 Emery Hwy,Macon,Macon-Bibb County,"32.848235,-83.618530",19800
4538 Ocmulgee East Blvd,Macon,Macon-Bibb County,"32.802164,-83.568459",13800
8164 Hawkinsville Rd,Macon,Macon-Bibb County,"32.693550,-83.638230",24300
4791 Pio Nono Ave,Macon,Macon-Bibb County,"32.774919,-83.660873",26900
4394 Pio Nono Ave,Macon,Macon-Bibb County,"32.782462,-83.665219",32700
4128 Pio Nono Ave,Macon,Macon-Bibb County,"32.790009,-83.668502",19800
3510 Pio Nono Ave,Macon,Macon-Bibb County,"32.799530,-83.664810",15200
3052 Pio Nono Ave,Macon,Macon-Bibb County,"32.807630,-83.663029",14700
2644 Pio Nono Ave,Macon,Macon-Bibb County,"32.812423,-83.662902",18800
2432 Pio Nono Ave,Macon,Macon-Bibb County,"32.816173,-83.662821",17200
Stephens St,Macon,Macon-Bibb County,"32.821983,-83.662702",14500
1276 Pio Nono Ave,Macon,Macon-Bibb County,"32.834002,-83.662567",15100
1020 Pio Nono Ave,Macon,Macon-Bibb County,"32.837651,-83.662473",14000
439 Pio Nono Ave,Macon,Macon-Bibb County,"32.842188,-83.662398",13600
4072 Hartley Bridge Rd,Macon,Macon-Bibb County,"32.744044,-83.704167",11300
Hartley Bridge Rd,Macon,Macon-Bibb County,"32.744014,-83.716731",16800
1883 Tucker Rd,Macon,Macon-Bibb County,"32.843509,-83.745115",10300
254 Bass Rd,Macon,Macon-Bibb County,"32.883524,-83.745921",11000
790 Bass Rd,Macon,Macon-Bibb County,"32.900864,-83.746293",12100
1248 Bass Rd,Macon,Macon-Bibb County,"32.916196,-83.745200",13200
1662 Bass Rd,Macon,Macon-Bibb County,"32.931042,-83.728128",10700
GA-401 N,Macon,Macon-Bibb County,"32.756900,-83.708400",29000
GA-401 N,Macon,Macon-Bibb County,"32.781610,-83.677820",39200
GA-404 E,Macon,Macon-Bibb County,"32.817790,-83.586297",39100
GA-404 W,Macon,Macon-Bibb County,"32.773910,-83.557890",26000
5812 Zebulon Rd,Macon,Macon-Bibb County,"32.879721,-83.751963",25800
5380 Zebulon Rd,Macon,Macon-Bibb County,"32.879601,-83.743176",14100
430 Forest Hill Rd,Macon,Macon-Bibb County,"32.867944,-83.690117",13800
Arkwright Rd,Macon,Macon-Bibb County,"32.902144,-83.686569",18800
Rocky Creek Rd,Macon,Macon-Bibb County,"32.791048,-83.669899",17800
2268 Rocky Creek Rd,Macon,Macon-Bibb County,"32.786184,-83.694506",12100
2572 Rocky Creek Rd,Macon,Macon-Bibb County,"32.786794,-83.705656",10700
5085 Bloomfield Rd,Macon,Macon-Bibb County,"32.801043,-83.707435",13400
4692 Log Cabin Dr,Macon,Macon-Bibb County,"32.817567,-83.709119",15800
4095 Log Cabin Dr,Macon,Macon-Bibb County,"32.831734,-83.706668",13200
2867 Mercer University Dr,Macon,Macon-Bibb County,"32.826150,-83.671740",18400
2071 Mercer University Dr,Macon,Macon-Bibb County,"32.825805,-83.659985",23900
1402 Mercer University Dr,Macon,Macon-Bibb County,"32.825678,-83.652193",10900
581 College St,Macon,Macon-Bibb County,"32.838119,-83.639471",10600
1330 Telfair St,Macon,Macon-Bibb County,"32.827328,-83.640732",10500
3634 Napier Ave,Macon,Macon-Bibb County,"32.848165,-83.687971",12900
3953 Napier Ave,Macon,Macon-Bibb County,"32.856011,-83.687770",11900
3575 Napier Ave,Macon,Macon-Bibb County,"32.846171,-83.688187",11700
3491 Napier Ave,Macon,Macon-Bibb County,"32.843402,-83.687746",14900
1945 Forsyth St,Macon,Macon-Bibb County,"32.841210,-83.648858",22900
1555 Forsyth St,Macon,Macon-Bibb County,"32.838549,-83.645062",12800
3441 Northside Dr,Macon,Macon-Bibb County,"32.893445,-83.682738",11400
3894 Northside Dr,Macon,Macon-Bibb County,"32.898335,-83.697390",20500
6233 Zebulon Rd,Macon,Macon-Bibb County,"32.880019,-83.765910",29000
GA-404 E,Macon,Macon-Bibb County,"32.848197,-83.627882",18400
GA-540,Macon,Macon-Bibb County,"32.854490,-83.638150",20100
GA-540,Macon,Macon-Bibb County,"32.855490,-83.637049",20500
GA-404 W,Macon,Macon-Bibb County,"32.848968,-83.627790",15500
GA-404 W,Macon,Macon-Bibb County,"32.857719,-83.639850",20600
GA-404 E,Macon,Macon-Bibb County,"32.857680,-83.641151",20800
GA-408 N,Macon,Macon-Bibb County,"32.756557,-83.709430",25200
GA-408 S,Macon,Macon-Bibb County,"32.754939,-83.711737",29600
233 Mecca Dr,Macon,Macon-Bibb County,"32.779590,-83.680550",11300
145 E Dykes St,Cochran,Bleckley,"32.388821,-83.352117",10000
GA-404 E,Danville,Bleckley,"32.574000,-83.241800",25300
GA-404 E,Danville,Bleckley,"32.570400,-83.227000",24900
172 W Cleveland St,Nahunta,Brantley,"31.201946,-81.984453",10800
690 W Screven St,Quitman,Brooks,"30.785127,-83.565774",14400
