Location,AADT (2018)
"36.192377, -83.360267",25233
"36.1869, -83.258214",10110
"36.211321, -83.292299",18740
"36.210078, -83.289761",14950
"36.178128, -83.34427",13620
"36.239585, -83.232177",14180
"36.214405, -83.286782",15758
"36.187906, -83.307487",19578
"36.235286, -83.237388",15095
"36.176075, -83.397181",24833
"36.180735, -83.384464",23907
"36.200061, -83.339728",34654
"35.422055, -85.091041",14144
"35.161468, -85.090662",14734
"35.190201, -85.246054",12491
"35.179554, -85.170545",18799
"35.132955, -85.242751",30922
"35.127712, -85.246787",28213
"35.116114, -85.274063",17560
"35.125967, -85.308762",13871
"35.104286, -85.327153",13764
"35.081844, -85.318146",18330
"35.08498, -85.316914",19371
"35.10169, -85.275463",18192
"35.074919, -85.232455",13279
"35.069904, -85.192318",10712
"35.063791, -85.141374",17069
"35.068071, -85.093015",19283
"35.078079, -85.037956",11948
"35.062604, -85.066196",12060
"35.054476, -85.069532",10690
"35.000357, -85.102503",13488
"35.045866, -85.215945",19365
"35.028811, -85.188133",27694
"35.018925, -85.190085",14854
"34.987666, -85.190303",10480
"35.013332, -85.211705",29512
"35.029447, -85.257958",32327
"35.009365, -85.270954",17870
"35.040395, -85.286889",12719
"35.047491, -85.28985",17136
"35.054017, -85.285711",29191
"35.062511, -85.307312",17104
"35.060136, -85.308977",17554
"34.98708, -85.2882",23590
"35.013165, -85.325744",14074
"35.024435, -85.364906",12616
"35.047583, -85.3095",13353
"35.036308, -85.311911",13142
"35.040233, -85.30791",13446
"35.03477, -85.303652",12537
"35.01579, -85.323228",21383
"35.018489, -85.271955",16452
"34.995211, -85.23457",21412
"35.017892, -85.238727",20970
"35.042958, -85.300755",10896
"35.040919, -85.29143",10007
"35.037862, -85.29316",11489
"35.034215, -85.295137",12742
"35.04462, -85.298206",11597
"35.111698, -85.268899",23170
"35.034465, -85.262372",18700
"35.052195, -85.312549",22342
"35.052297, -85.307358",18296
"35.034084, -85.308381",15062
"35.074104, -85.193172",22225
"35.174409, -85.247191",28950
"35.095656, -85.23494",28680
"35.072372, -85.319097",14569
"35.149728, -85.108798",18007
"35.053755, -85.053005",18549
"35.125019, -85.285515",11658
"35.041981, -85.187653",13665
"35.024162, -85.318599",22822
"35.022068, -85.311317",11320
"35.000746, -85.13172",21022
"35.060794, -85.127233",10135
"35.033679, -85.180146",14746
"35.053648, -85.186428",24221
"35.031067, -85.293874",10173
"35.022751, -85.296368",13891
"35.095298, -85.32856",29268
"35.067982, -85.289493",13575
"35.032709, -85.312179",11758
"35.03039, -85.306178",13985
"35.034062, -85.269752",13585
"35.031541, -85.270984",12016
"35.038086, -85.143805",16469
"35.150595, -85.211076",20111
"35.052049, -85.300636",18625
"35.051692, -85.275445",15390
"35.098128, -85.171965",31255
"35.194576, -85.238456",39347
"35.215663, -85.21493",25819
"35.027626, -85.305144",10789
"35.029745, -85.297501",10805
"35.054451, -85.318628",12273
"35.08418, -85.319026",16311
"35.081732, -85.209075",19103
"34.999474, -85.217901",12303
"35.003862, -85.233166",11269
"35.118419, -85.316997",11141
"35.107841, -85.240231",14655
"35.079463, -85.187129",10281
"35.099265, -85.252388",28372
"35.114364, -85.250015",15311
"35.119025, -85.242978",10362
"35.052191, -85.257823",11914
"35.115523, -85.354797",13523
"35.058323, -85.137674",11994
"35.057587, -85.273909",17409
"35.049041, -85.306461",14746
"35.012556, -85.252759",10908
"35.018342, -85.181149",13349
"35.049025, -85.248841",13358
"35.266182, -85.162003",25417
"35.075477, -85.267348",34112
"35.033351, -85.285944",12118
"35.038288, -85.264148",10668
"35.018704, -85.375738",12628
"35.18787, -85.054522",10615
"35.323035, -85.135443",16312
"35.005843, -85.278908",11082
"35.289124, -85.151888",26455
"35.063787, -85.30872",12508
"35.062716, -85.31243",14880
"35.18056, -85.265401",26518
"35.044572, -85.289468",10649
"35.042392, -85.276069",14694
"35.014993, -85.281291",11225
"35.015318, -85.293401",29857
"35.183549, -85.246541",37117
"35.170987, -85.207466",14993
"35.149195, -85.219246",30029
"35.151731, -85.320111",12246
"35.124745, -85.302863",15218
"35.090946, -85.323873",30079
"35.113189, -85.254348",22212
"35.111455, -85.137795",23700
"35.043674, -85.159149",24188
"35.054784, -85.195664",18872
"35.039883, -85.218366",11250
"35.04355, -85.227247",14292
"35.040864, -85.225028",10117
"35.02101, -85.223881",14044
"35.006969, -85.153456",26340
"35.01112, -85.22363",23330
"34.98944, -85.207824",25352
"35.086416, -85.290598",17251
"35.120707, -85.291922",21696
"35.08734, -85.260801",37498
"35.055367, -85.306909",12811
"35.104801, -85.298712",14224
"35.144674, -85.291644",22850
"35.073509, -85.072915",11343
"35.099306, -85.055764",11548
"35.060415, -85.1336",24382
"35.035252, -85.152759",23269
"35.010962, -85.229361",14758
"35.138734, -85.245841",10523
"35.04578, -85.311978",15134
"35.030441, -85.308977",16177
"35.03962, -85.130958",12583
"35.053858, -85.127551",15276
"35.052236, -85.310167",20012
"35.085382, -85.065995",34441
"35.074573, -85.155532",10546
"35.010898, -85.242328",12601
"35.027163, -85.266535",15920
"35.265915, -89.011869",11631
"35.256236, -88.990958",10620
"35.256363, -88.996902",13216
"35.256519, -89.001831",11009
"35.226755, -88.296605",12535
"35.225012, -88.266771",12572
"35.226576, -88.217999",12632
"35.224172, -88.243044",11693
"35.225264, -88.243045",14954
"35.226329, -88.241424",15641
"36.517841, -82.7154",18741
"36.519851, -82.724613",17963
"36.394561, -83.029111",13447
"36.393716, -83.011111",12747
"36.55171, -82.628486",34614
"36.425112, -82.985383",13555
"36.405769, -83.017188",13410
"36.398182, -83.018166",15421
"36.373026, -83.013215",11519
"36.486489, -82.841503",11422
"36.46626, -82.914937",11894
"36.440478, -82.966454",12906
"36.512634, -82.769217",16492
"35.573816, -89.131622",31226
"35.422733, -89.362267",34591
"35.587718, -89.084352",34444
"35.593747, -89.257487",10107
"35.457766, -89.306757",34513
"35.668376, -88.384384",11391
"35.657363, -88.411176",18467
"35.634211, -88.404164",12431
"35.662914, -88.430969",11258
"35.760909, -88.485756",35076
"35.800052, -88.349777",35561
"35.695694, -88.547335",10050
"35.64501, -88.38719",12037
"35.652284, -88.391521",12697
"35.650512, -88.393146",15501
"36.350707, -88.228752",10047
"36.286984, -88.311031",20323
"36.283006, -88.300481",10899
"36.307082, -88.299342",15666
"36.261637, -88.34124",10041
"36.298063, -88.310802",12080
"36.297738, -88.325237",11405
"36.29297, -88.321002",13592
"36.288675, -88.321191",10240
"36.313389, -88.289089",14934
"35.932717, -87.295726",12836
"35.982044, -87.499024",36493
"35.884597, -87.667974",35936
"35.950453, -87.303205",12210
"35.8811, -87.842846",33459
"35.878766, -87.751704",34707
"35.865481, -87.93454",33317
"36.132588, -83.459464",21036
"36.110798, -83.488136",14372
"36.11219, -83.50497",18977
"36.106571, -83.529244",18537
"36.098061, -83.563072",13160
"36.115567, -83.285677",11503
"36.060055, -83.475092",12960
"36.022573, -83.427207",11021
"36.127023, -83.314675",39246
"36.059524, -83.374895",29677
"36.115355, -83.491695",18520
"36.117821, -83.482984",26058
"36.050887, -83.462998",16993
"36.016693, -83.421293",13688
"36.150005, -83.433718",22017
"36.465113, -81.801817",10773
"36.085643, -83.918897",11976
"36.091569, -83.920145",17116
"36.08228, -83.929403",12765
"36.080856, -83.940873",19370
"36.073708, -83.927653",33914
"36.041002, -83.874601",11840
"36.047354, -84.002804",24091
"36.038675, -84.013256",19488
"36.0153, -84.061908",10161
"36.010361, -84.03264",26147
"36.01238, -83.924123",20250
"36.02903, -83.920488",16580
"36.015819, -83.863401",21224
"36.024671, -83.7433",23115
"36.030238, -83.730303",19099
"35.995834, -83.949711",10867
"35.999653, -83.965466",27993
"35.998766, -84.018749",10340
"35.99511, -84.034869",15928
"35.988112, -84.051834",16896
"35.946212, -84.161441",18120
"35.945737, -84.130768",14076
"35.951269, -84.118973",16950
"35.972457, -83.985916",21960
"35.957274, -83.918603",34281
"35.895643, -83.811313",30017
"35.929539, -83.899439",28908
"35.919883, -83.996538",16358
"35.901819, -84.02293",16409
"35.930296, -84.030678",23320
"35.940881, -84.035783",21228
"35.923815, -84.093669",26393
"35.910649, -84.09221",25708
"35.857055, -84.077549",11506
"35.90416, -84.142437",36407
"35.890279, -84.147107",25389
"35.87931, -84.149749",10528
"35.995196, -83.921775",26592
"35.974706, -83.972179",15968
"35.982036, -83.899838",12287
"35.997387, -83.881163",12859
"35.965813, -83.933915",20616
"35.964369, -83.929703",16063
"35.962703, -83.92203",36013
"35.958808, -83.925962",13856
"35.952852, -83.942019",37181
"35.950869, -83.952877",25395
"35.941271, -83.983844",18141
"35.950482, -83.946634",16058
"35.954869, -83.922577",16209
"36.16874, -83.906259",13322
"35.951741, -83.807679",11736
"35.986345, -83.919372",17308
"36.131991, -83.717644",10876
"36.060808, -83.685503",17115
"35.87325, -84.23478",11149
"35.991626, -84.06577",13847
"35.931751, -84.002076",21452
"35.962254, -83.970136",14205
"35.971388, -83.916315",38404
"35.985818, -83.826744",12800
"35.936607, -83.940404",12999
"36.070705, -83.883145",15027
"35.916114, -84.15039",17532
"35.884875, -84.064847",12863
"35.874676, -84.046045",13676
"35.885596, -83.948398",21408
"35.892129, -83.902728",16521
"36.008559, -83.975459",23340
"36.047259, -83.808526",17095
"35.892016, -84.172537",20965
"35.846172, -84.159371",13577
"35.983585, -83.933069",14846
"35.959227, -83.948252",11750
"35.989816, -83.954107",11333
