place_id,name
ChIJa4WK5xnG9IgRivedyYcNkoM,Greison Storage Mart
ChIJlbdqr3XE9IgRZgGBojmEoxc,Storage Xxtra
ChIJ1erS-HbE9IgRrVbpScSniDo,Newnan Lock Storage
ChIJO-1POYrD9IgRF-RrRB3msI4,Storage Xxtra
ChIJ-8yT9DTG9IgRloSccj-AUfk,Greison Storage Mart
ChIJt_mOiXDB9IgRqetMs-0mtB8,U-Haul Moving & Storage of Newnan
ChIJERMI3BHq9IgR7OCe3XGYAEs,Extra Space Storage
ChIJJz_RWcuV9IgRKGtE1X1k_6s,Brickhouse Self Storage
ChIJ39aqu-XA9IgRs0-Em7B3pM0,FreeUp Storage Sharpsburg
ChIJrU-mkI_H9IgR2Y5RhHiOcK4,Coweta Storage
ChIJZayhECQ78ogReAbdP0EIEBo,Security Mini Storage
ChIJ47v0kTol8ogRORVrlpPuhB0,S&S mini storage
ChIJaU0biNwk8ogRN0_jSD43NbQ,Southeast Cold Storage
ChIJ651CroxLYIgRIqm-XsaT8pQ,Trenton Mini Warehouses
ChIJOcep9bFOYIgRIO5LC3JfTEQ,Madex Storage Climate Control
ChIJX9Ybnk1JYIgRoUYwZFpS_68,Smokey's Storage
ChIJq7g-YcJ8X4gRu0WJLnZxK_U,Puckett's Mini Storage
ChIJReahGyJiX4gRmTuzmeJ_7mQ,USA Storage Centers - Dawsonville
ChIJV7xEWO-J9YgRj7r6pOcMtaY,Byrd - Elliott Boat & RV Storage
ChIJ07Y-SMaJ9YgRiW73sZ5GHu4,Securlock Storage at Dawsonville
ChIJ55qv-tGJ9YgRQ_WUMJc2FCg,Lock N Roll Self Storage
ChIJNfJcRQCJ9YgR4yq9EhK7wCQ,USA Storage Centers - Cumming
ChIJgbx9z3JhX4gRYk-fOgCTdJo,400 Mini Storage
ChIJGe6hSeJhX4gRR-7-LXQXJGw,Lakeside Self Storage
ChIJRWtWYngY7YgRAScyA4uirw8,"B&G Management, LLC Self Storage Facility"
ChIJwVBn-rQb7YgRJiShXrYhiuw,Cooper's Mini Warehouses LLC
ChIJk4KzRRcZ7YgRRBY0o8klliw,"KTAB Storage, LLC"
ChIJ7Y3Mh5sZ7YgR3Haa75IrqI8,Cooper's Mini Warehouses LLC
ChIJl0c_N1Or9YgRd9GUTWam1RY,Flakes Mill Rd Storage
ChIJF7GP8U6p9YgRwtiCyEL3q54,U-Haul Moving & Storage of Clarkston at Sams Rd
ChIJ40sl56eo9YgRch6JL9mLsIs,ATL Storages
ChIJbwUy09il9YgRNYCzrrwvy2M,A-1 Mini Storage
ChIJ0Q8QBA2p9YgRFIpQI7KQ1yk,U-Haul Moving & Storage of Avondale
ChIJu5Hv3NOp9YgR6pfqwktYXkQ,Avondale Mini Storage
ChIJLbAz1Kup9YgRkkGbFM4jeOw,U-Haul Moving & Storage of Stone Mountain
ChIJqz4DE9Wr9YgRTsk7639LbhA,U-Haul Moving & Storage at Covington Hwy
ChIJH3kt6foI9YgRlVXlPMEImHU,iStorage Self Storage
ChIJR3nknmAI9YgRtVErqy2zl3E,Dresden Drive Mini Storage
ChIJJ6vjaGII9YgRUj7h7hjy1lo,Morningstar Storage
ChIJeQ0-KXwJ9YgRXtKUNNzGwGg,U-Haul Moving & Storage at Northeast Expwy
ChIJG_YuIisG9YgRo1uCDr_EM7I,U-Haul Moving & Storage at Clairmont Rd
ChIJbythiruo9YgRch2blqSAjA8,Corporate Storage
ChIJnWfyT6wJ9YgRyC2Z-wOMBGM,Guardian Self Storage
ChIJu_v8lLQO9YgRGAPYNfn4Gyw,"Mobile Moving and Storage Atlanta, GA"
ChIJ5XJN_mcF9YgRO1EgD9SMqVw,U-Haul Moving & Storage at Piedmont
ChIJbQ8Q3HUG9YgRGF7h6Z-XD0A,Extra Space Storage
ChIJ3VQjIOSo9YgREvg3NWohv2g,Self Storage Climate Controlled
ChIJVwtyACqp9YgRx8vfPzydH5I,U-Haul Moving & Storage of Clarkston
ChIJAdFGO5oJ9YgRlS5KHPBVRNg,iStorage Brookhaven
ChIJvxU_ViIF9YgR_5pZ_e7B2iY,LCWS Moving & Storage - National Vanlines Affiliate
ChIJM9-34loL8YgRx9FHKjLmosQ,Affordable Self Storage Eastman GA
ChIJc0sVJel58ogR7ZeTIi7XiK0,StayLock Storage
ChIJ1aj7iS158ogRAHcJzbRo5bo,Albany Cold Storage LLC
ChIJEV8H6qF-8ogRbwfSaZc39D4,Lake Park Storage
ChIJVUjJLYh78ogRhSapImDjjLY,Royal Storage
ChIJQbjM4YJ78ogRk2CTopsiX7A,Affordable Mini Warehouses
ChIJkbVh0nl88ogRGl0NrdS24wM,Palmyra Self Storage
ChIJT_Fyh0978ogRRoy0HFxKxrw,Bush's Self Storage
ChIJiRHaJFF38ogRvjkrROZ7DoE,5-Points Mini Warehouse
ChIJHUvNyWZ38ogRi57A_GLwLG8,Simpson Storage LLC
ChIJ96JtoFt68ogRTkcYb4adDrw,Southern Self Storage
ChIJiebYy6x58ogRxvxSKl69hSo,Malone Storage
ChIJa3q4lHt38ogRfUusGiTAcSI,Base Side Storage
ChIJB7mEyYN-8ogR4qubcnxaYp0,Air Safe Self Storage
ChIJXYLBjHR98ogR_9ak5FjDiac,Hickory Grove Storage
ChIJMyEHm9Yn9YgR8b5QohydgdI,Metro Self Storage
ChIJQyQo6nMm9YgRW1OGOw7_nWY,Fortress Storage
ChIJ9ypS0vIm9YgR8CEGsv95sdA,Storage Depot of Douglasville
ChIJPWUdO5sm9YgR8u6YMJXxEPY,Premier Storage and Flea Market
ChIJT9vHfzoh9YgRTAzqiBoa-fw,Extra Space Storage
ChIJY25oitYj9YgRtShS1Tu5HNI,Lee Road Self Storage
ChIJ4w67u8gj9YgR8Qzw-SZr7jE,Sweetwater Storage
ChIJrfQ9zbQj9YgR6FBn0QTD09o,Austell/Lithia Storage
ChIJbxBIteYe9YgRX9DD_BlKy88,Fulton Industrial Cold Storage
ChIJqSTixicf9YgRuVs9CVybJmk,UNITS Moving and Portable Storage of Atlanta GA
ChIJTeBOqNUe9YgRS0kNofccG1c,Zippy Shell Moving & Storage - Greater Atlanta
ChIJpWO1u24i9YgRnKT9oZWhc20,A Quality Storage
ChIJfU-bVN28-4gRnesXVBe51pk,21 South Mini Storage
ChIJYfFyHmG8-4gRhJiuSQhKff0,Continental Self Storage
ChIJB34b82vN94gRuVTS2v8sm7Y,Best Storage Solution Elberton
ChIJZXnI6XvN94gRkC39xhUiIfk,Budget Storage
ChIJnV91cK7S94gRaEOnU8yLaGo,Trash or Treasures Storage
ChIJnb_9sUOk8IgRCJedeFqfMaI,D&R Mini Storage
ChIJO2FeJF2l8IgRw5nzTD37ZeI,Swainsboro Self Storage
ChIJwyoFUkCk8IgRNOBAapVil64,Durden Investment Storage
ChIJqUsaUkCk8IgRrISN5u8pSvY,Lane Storage LLC
ChIJZ31N4oel8IgRmTdlmUIj6Zg,East Georgia Secure Storage
ChIJq6wX8o-k8IgRJFnfG_DTFqw,Thompson´s Mini-Storage
ChIJO4Wx0LqmX4gRaXpHAXTdZmo,Secure-T-Loc Storage
ChIJ8UCKcnunX4gRVvMXSmZqZww,Trackside Self Storage
ChIJVQiqmrinX4gRIQnqjGz0udM,Ace Mini Storage
ChIJbS3PmFKmX4gRCJVA2V2C6UI,Windy Ridge Storage
ChIJ4bThEWqnX4gRDUA5EWp5NDM,Blue Ridge Storage Solutions
ChIJbR0l21ymX4gR8FvNkljMXi0,Mountain Country Storage
ChIJA8MX3IqlX4gR5YvatWzgCS0,A Plus Storage
ChIJobWm1p-nX4gR7JCSeubQY8o,Mountain Country Storage
ChIJL1PtTz3o9IgRYdCohh0CvJQ,74 Mini Storage
ChIJ0_HUCtfp9IgRp3o8W7CLakA,Shamrock Self-Storage
ChIJf7MfTxbD9IgRHeXYfHbP1ks,Gatekeeper Self Storage Units
ChIJX4RROyCGk4gRdwUQ0WSaw70,KBS Mini Warehouses
ChIJazp71PW7iogRPqPBC0pXCao,Dean Street Storage
ChIJ__8vkZmkiogRIv5d1Kv6H2k,Safe Storage
ChIJSTWjHoWliogRNhUm9XBOiTI,"10 Federal Self Storage - 3361 Martha Berry Hwy, Rome, GA"
ChIJbSYUERekiogR-RHbV5m9QZA,Mt Berry Mini Warehouses
ChIJVZtS322YiogRe2O5F2Xl1bM,West End Mini Warehouse
ChIJJYE9ngCjiogRE5nT04MxQeY,Stor-It Mini Warehouses
ChIJ4bNQlZmkiogRRaBJkJiVdKI,Safe Storage
ChIJd1UU6J-liogRmSOL9u4UpCg,The Storage Center
ChIJr0V9PtWjiogRIB17_nnP-9o,The Storage Hound
ChIJTS4PHnWd9YgRdD55rI42N6E,Midway Self Storage
ChIJz0vRaqKd9YgR1Ng2WkxdQzQ,Integrated Storage Solutions
ChIJo3AyrQed9YgRfUm7stVO8_A,Extra Space Storage
ChIJo82eI7yd9YgRFKLfqQeJH2w,McFarland-400 Storage
ChIJdYEfuZSd9YgRTp8dQ1w6vGs,Crooked Creek Storage
ChIJhT_ZiGOM9YgRSkmizuZcYcQ,self storage postcards
ChIJN-Vqjyec9YgRzAztgnlhabw,Extra Space Storage
ChIJE3qWBHae9YgRkhzQrAwRwBk,"Cimarron Storage and Leasing, LLC"
ChIJYQl-fqQn9ogRCvt879YHx6U,Southern Self Storage
ChIJt5JgYAUn9ogR1Nvh_9-J6LU,Self Storage Brooks Property Rental
ChIJw2NIt7sn9ogRkNXwtSta6v8,Tri-County Self Storage
ChIJu8Rn8hebWIgREs4EZIu56G4,Lavonia Self Storage
ChIJN-jZ56SbWIgR5TqyF2DZfgs,A 1 Storage
ChIJXdrjtRSbWIgRlzB9SiqAPG4,Just For Now Storage
